id,category_id,image_url,label_en,label_my,icon_order
angry,feelings,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Emotions/Angry.png,Angry,စိတ်ဆိုးတယ်,3
aunt,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/aunt.png,Aunt,အန်တီ,8
badminton,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/Badminton.jpg,play badminton,ကြက်တောင်ရိုက်မယ်,6
banana,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/food/banana.png,Banana,ငှက်ပျောသီး,4
bath,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/shower.jpg,Take a bath,ရေချိုးမယ်,5
bicycle,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/ride.jpg,Ride bicycle,စက်ဘီးစီးမယ်,9
bread,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/food/bread.png,Bread,ပေါင်မုန့်,5
cake,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/food/cake.png,Cake,ကိတ်မုန့်,8
candy,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/food/candy.png,Candy,သကြားလုံး,9
chips,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/food/chips.png,Chips,အာလူးကြော်,6
chocolate,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/food/chocolate.png,Chocolate,ချောကလတ်,11
cinema,places,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Places/cinema.png,Cinema,ရုပ်ရှင်ရုံ,10
cold,feelings,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/cold.png,Cold,အေးတယ်,4
dad,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/phayphay.png,Dad,အဖေ,2
don'tWantTo,choices,"https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Choices/don'tWantTo.jpg
",Don't want to,မလုပ်ချင်ဘူး,2
drink,verbs,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/drink.jpg,Drink,သောက်မယ်,3
drinkWater,shortcuts,"https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Shortcuts/drinkWater.jpg
",I want to drink water,ရေသောက်မယ်,5
eat,verbs,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/eat.jpg,Eat,စားမယ်,1
emergency,shortcuts,"https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Shortcuts/emergency.jpg

","Help, It is an emergency",အရေးပေါ်ကူညီပါ,3
football,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/football.jpg,Play football,ဘောလုံးကန်မယ်,8
friedChicken,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/food/friedChicken.png,Fried chicken,ကြက်ကြော်,7
friend,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/boy.png,Friend,သူငယ်ချင်း,4
go,verbs,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/go.png,Go,သွားမယ်,2
grandma,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/grandma.png,Grandma,အဖွား,6
grandpa,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/grandpa.png,Grandpa,အဖိုး,5
